number,fermat method,classical method
66123573829,33505.459,83261.805
60765859150,36196.903,76886.132
64986549712,33304.901,81219.931
65064928846,31502.196,81889.196
72114502632,32193.982,87897.657
64485269868,34832.494,80706.759
66644924514,34351.974,82595.539
68159262599,32869.62,84346.124
69770472730,33990.496,85712.198
65048908321,35500.794,79698.293
69157936681,33178.951,84698.66
71353432981,31892.305,87108.708
68219408020,33391.285,83979.669
65843091582,32599.725,82237.362
69280890275,34900.962,83987.524
73987576926,34235.154,88326.135
70199130443,33551.351,85385.324
69867902832,35543.439,84826.005
69496562267,35945.078,83638.966
73172059258,33614.051,87816.765
70033047642,34534.386,84633.569
70340041101,35917.602,84365.638
73198085540,32799.731,87636.755
72491385178,32645.825,86866.269
70745995601,35133.502,84846.553
72832268111,34749.701,86347.461
74676196820,35114.83,88161.874
75004716074,35194.026,87810.715
71764066938,33657.219,86064.938
69771818639,36841.928,83645.831
74273979659,33436.014,88352.664
76877912936,34923.963,89913.843
76241124366,33655.581,89874.731
73535882182,35719.133,87733.524
74986303577,33411.423,87919.396
74733226049,34582.753,87715.228
74735336541,36555.497,86869.066
75805871923,32812.261,89673.643
72535697746,36503.489,85409.21
73421050179,36986.856,86329.807
74187156918,36036.725,87629.957
77198014905,34302.358,90657.618
73201854894,35556.637,85973.062
77020773956,35389.512,89005.205
77699588434,37214.756,89542.693
76298212813,34920.107,88583.991
78437606179,35751.265,90730.78
76199385673,37390.938,89481.552
79839115118,35732.235,91418.083
80444220167,33753.517,92294.108
79049324165,37131.322,90875.956
74806247420,38081.287,85844.697
81501939085,35009.556,93237.458
78779961139,35514.385,89578.805
81278325553,37107.797,92552.686
87362493634,34567.529,97708.869
81933591074,35436.147,92202.256
80058711443,35843.375,91336.785
81453498791,38384.049,91455.21
80721940542,38259.208,90633.687
83175528610,34075.156,93909.422
80213890010,34566.278,91299.259
81922289273,36271.656,92764.258
83168194283,35782.37,93697.601
84473294293,34455.746,95567.278
84599269736,35549.612,93726.362
87992749253,33714.708,97984.572
82347305195,36124.697,91962.452
79597859850,38396.175,90338.854
83083192414,39815.879,92568.018
83994480608,36511.809,93436.695
87983406785,37276.151,96411.582
88444911855,36668.665,96571.194
81551750867,37880.034,91789.959
89104398165,35551.763,98321.984
85229413920,36461.94,94283.602
92526761555,35018.164,99119.303
86969729704,38757.448,94959.896
86538633113,39403.837,94354.883
83332436522,38254.103,91464.763
87413456413,35047.517,95656.448
93118387128,40087.86,99829.037
91349728110,34698.811,99262.565
92106414765,37708.714,98888.928
88708383983,38744.404,96537.674
88325162066,40763.29,94097.262
88903502628,37176.036,95595.062
92744611959,33618.318,100243.064
90881385788,36233.873,97525.241
87488245692,38978.264,94992.455
95751620551,36325.44,101738.464
90181000399,38895.218,96916.624
87441980353,37799.848,94781.963
93561629815,37620.225,99593.852
89878181451,38002.622,96703.445
88677442923,39681.241,95283.555
91285328289,36929.149,96837.556
96262952203,34541.892,102076.212
95601112048,37465.946,100667.008
92231747440,38991.184,97894.739
92605041290,40229.297,97681.38
93280073256,38700.581,98363.503
92575107002,38797.794,97772.938
97970342206,36924.252,101842.815
97560354124,36114.333,102325.21
95791400584,38264.074,100430.096
99722583962,36128.66,103767.828
95812944225,40265.966,99923.387
101329552262,34921.509,105115.608
97576161156,38616.484,100910.892
94280125040,37380.721,99065.566
100366533925,37833.614,103729.906
99435337872,38263.619,103052.922
96238271261,39607.619,100728.025
92705466804,38862.747,98679.915
99745699591,37890.523,102152.083
103316224492,38219.853,105105.952
95483203853,41341.121,98059.36
96178051612,40403.243,99004.977
100712865873,38641.345,103100.034
98209506290,42072.76,100899.426
101005972079,39436.016,102593.209
102156148601,39331.167,104149.397
96284215202,42262.055,98587.263
103731466709,39463.044,104597.737
105008038004,38380.466,105637.085
105351058374,39973.372,106469.647
103459764379,36685.253,105292.002
105627306194,39020.25,107404.335
100427227565,40107.386,102121.073
103088622077,40639.807,104097.258
99430500849,42443.521,100415.982
104453606276,41223.128,104183.717
101034058983,39249.043,102139.858
102378347362,41967.626,102173.244
108366121476,37422.567,107504.772
103710527004,39869.282,104669.696
109644847460,39336.16,109218.155
102069840667,40748.677,102762.364
105198445110,42275.677,104536.628
112035579192,39885.054,110106.285
102090798812,41337.355,102020.208
105398663702,42825.689,103760.778
103593720646,40497.774,103200.777
103812181943,43474.774,103032.146
110534754788,42085.184,107659.157
109368480410,39270.974,108142.224
108176142022,40825.195,107098.755
107945930345,41764.529,106180.817
107338092925,38974.623,105827.381
111653733942,39827.509,109473.682
106730942227,41737.612,105186.331
105749929220,41236.104,104226.631
106978282952,44638.469,104189.472
108945416470,42884.933,106515.397
106380010336,43841.655,104144.014
114051678594,43022.084,109116.701
116045694224,43677.073,110757.059
104853091832,46280.728,102518.241
103561916120,46047.397,101693.149
105868330308,43491.45,103009.511
111914814654,42466.532,107770.078
118062168896,43693.175,111407.927
113537168353,43105.862,108307.612
112106695069,42477.381,109025.797
104029044897,43703.997,102325.892
115500532551,43962.117,109516.059
114770539273,44974.392,108781.54
113891955943,42881.78,109112.846
114478337663,40778.002,110867.973
116225938020,40711.641,110634.239
115847526364,41686.565,110572.059
118506325329,44224.267,111392.323
118532237017,42653.373,112147.192
120416473932,40865.545,112567.492
114685420798,44678.621,108368.771
118696302804,40427.151,112220.664
117391376460,42112.19,110197.295
118621062661,45495.878,110888.325
116807467419,42618.764,109898.872
121799469546,41703.871,113322.569
118717534255,39279.017,112136.642
114921441365,44816.91,108550.265
115741099145,42926.393,109749.644
119204374972,41225.765,111878.286
124446275309,46828.579,114561.563
125321111653,42190.603,114999.816
120701031840,44270.359,112181.526
119227282024,43822.881,111224.749
128749132358,40505.742,118777.895
115407717120,44135.424,108663.329
119935097879,44318.04,111849.338
118711521369,44395.837,110474.715
117272955201,43554.46,110220.626
120094580268,43608.879,111501.511
121981129698,43448.328,113215.181
125285077340,40821.824,115501.278
128389769274,42794.872,117339.019
126739806587,44474.741,114044.141
126783464802,42675.859,116414.268
120073507608,47183.392,109558.977
121931618041,48718.572,111357.835
123681733612,42121.787,113932.752
126274530644,44893.267,115140.523
124337433370,45116.216,113643.782
126553134073,46796.379,114646.373
125425566389,43697.247,113830.244
128830942257,45167.847,115882.84
134778147724,43391.419,120027.243
128376613995,43338.955,117584.24
130632628654,44584.174,118218.315
137447954256,43526.524,121777.194
132065756486,40774.432,120012.055
127813241026,46992.12,114762.984
130907852310,49288.901,116506.161
133129930908,45680.643,118487.95
135196631102,44487.658,119455.604
126742323414,45390.848,114742.512
135460685401,44983.635,119465.71
130875007481,44050.163,117078.655
138498499739,43130.135,121964.423
125560859320,48723.989,111861.765
131093800323,48513.896,115261.539
131625420863,44984.162,117226.187
136475243096,44124.316,120545.162
140787583106,43789.774,123788.299
125280048427,47385.511,112299.911
142886079617,43143.05,124605.609
135855022315,42969.07,120093.686
134053991241,45788.598,118345.737
141682663192,48637.06,121814.622
137045081250,44836.39,120577.961
138425637750,48065.675,120523.333
140939607584,47318.103,122511.36
141193879234,42980.137,122566.015
135001758064,46300.255,118582.194
138348604208,45324.529,121064.221
138082010099,45128.979,120174.733
146162259536,43740.401,126551.833
137927047132,50260.834,118486.105
