cap,fermat method,classical method
667000,41345.476,103247.288
668000,42131.214,104918.278
669000,44723.28,96308.15
670000,38610.434,107819.804
671000,42060.746,103992.098
672000,39759.642,102027.848
673000,39929.396,105488.128
674000,40968.994,101928.914
675000,41968.822,100367.922
676000,38249.21,103756.754
677000,42482.322,106691.174
678000,41267.246,103529.67
679000,39287.348,108941.678
680000,38252.182,114210.448
681000,41661.204,102769.438
682000,38430.462,107692.458
683000,40482.332,103902.912
684000,42539.86,107388.048
685000,42151.622,103339.092
686000,40733.712,105563.258
687000,44228.774,107737.85
688000,43718.7,107331.636
689000,44838.364,104974.484
690000,38691.438,109371.344
691000,39008.84,108510.364
692000,44262.668,108620.356
693000,38887.842,111143.078
694000,41044.03,110393.378
695000,41441.636,108348.168
696000,41387.998,110130.614
697000,41602.63,109290.052
698000,41169.106,115071.062
699000,42053.796,107578.364
700000,41458.064,102552.3
701000,39557.788,107777.276
702000,41990.026,109448.084
703000,40984.544,108408.394
704000,45682.004,106972.566
705000,46576.504,106385.746
706000,41927.028,104443.09
707000,40971.002,116095.092
708000,43887.292,112518.362
709000,45612.164,102281.15
710000,43408.812,108958.728
711000,41768.462,108001.026
712000,43945.706,110580.192
713000,44283.536,104776.912
714000,46436.014,107261.906
715000,42238.928,104456.934
716000,45624.568,105288.798
717000,42386.566,111557.172
718000,41443.93,109410.792
719000,45207.326,106831.7
720000,41363.544,108212.768
721000,43011.066,114798.646
722000,41864.058,115943.41
723000,44270.034,109666.61
724000,44278.124,119469.478
725000,43384.098,105101.56
726000,46771.472,107746.954
727000,45091.782,114183.652
728000,47433.04,108703.802
729000,44137.592,109611.272
730000,44804.38,111419.82
731000,42234.468,113988.204
732000,48227.362,108894.994
733000,41268.424,116555.54
734000,46632.426,106820.766
735000,44918.206,111385.456
736000,42406.384,115901.402
737000,48312.704,111073.854
738000,45017.566,115549.832
739000,43748.052,111495.784
740000,43784.858,112520.212
741000,43431.946,117195.186
742000,43775.53,114984.272
743000,45831.726,112597.108
744000,44400.968,116795.042
745000,43173.03,118078.312
746000,43590.546,117211.096
747000,47205.378,113880.446
748000,44903.232,117964.126
749000,48202.114,115157.244
750000,50205.416,110652.904
751000,40998.356,126726.124
752000,40396.568,119613.336
753000,44880.544,122513.872
754000,47772.56,118004.866
755000,43170.92,119017.878
756000,43691.248,120241.268
757000,47050.906,116312.302
758000,45447.836,112873.422
759000,49178.84,114663.764
760000,53171.724,111687.358
761000,45672.26,124296.706
762000,48219.79,110908.778
763000,42188.108,118935.018
764000,49725.03,116543.88
765000,44048.874,123764.572
766000,45957.56,121167.362
767000,47804.806,113059.828
768000,45665.696,120567.994
769000,45646.38,119600.872
770000,47757.574,118658.32
771000,48295.9,120456.2
772000,47937.098,114730.556
773000,45797.382,124013.85
774000,46015.808,122737.838
775000,48213.82,122060.19
776000,47416.666,117252.104
777000,50082.298,120585.282
778000,51911.566,115759.432
779000,46340.126,118851.426
780000,42874.056,127580.898
781000,49077.672,120704.712
782000,49506.282,117840.934
783000,46639.636,122444.98
784000,48576.63,118539.216
785000,48629.182,121027.99
786000,52159.076,121172.256
787000,46273.97,119021.358
788000,48500.386,123513.588
789000,49590.95,123749.748
790000,49923.62,115471.294
791000,52413.104,119083.428
792000,47664.702,124427.506
793000,47065.26,124206.452
794000,47233.118,124610.858
795000,43923.868,124628.738
796000,49630.878,125923.688
797000,48261.354,129717.21
798000,45960.252,127817.252
799000,51947.408,124145.06
800000,52201.836,115664.318
801000,46097.598,125447.724
802000,45909.848,123589.662
803000,49248.774,122185.18
804000,51399.304,115938.166
805000,49721.718,122216.7
806000,50352.288,124730.236
807000,46881.25,132568.85
808000,51513.28,121828.404
809000,47004.336,124201.256
810000,53209.498,120011.378
811000,54210.53,119435.156
812000,52536.648,119031.44
813000,53607.136,121783.342
814000,55526.95,120499.304
815000,48294.312,125437.662
816000,51772.912,124633.338
817000,47970.276,131029.096
818000,52294.698,122896.554
819000,50922.428,125957.046
820000,52391.308,128561.474
821000,49192.2,133397.228
822000,56539.498,120929.616
823000,51283.632,120822.118
824000,46920.926,131877.674
825000,48060.028,139902.084
826000,51748.276,123527.674
827000,54307.064,126968.694
828000,50642.858,128637.866
829000,49868.942,127109.458
830000,47809.36,137513.578
831000,45763.864,129384.878
832000,48392.326,131189.85
833000,50919.848,131807.222
834000,45467.814,133458.876
835000,53743.106,119700.216
836000,46104.098,127961.092
837000,47943.088,132368.25
838000,47872.79,133201.874
839000,46466.612,141988.85
840000,48794.304,137108.702
841000,48426.566,127229.654
842000,51258.326,130388.214
843000,46931.392,132121.794
844000,51631.56,129963.618
845000,48694.37,138712.354
846000,52395.078,133389.698
847000,51646.446,130433.858
848000,47830.614,135681.526
849000,47163.916,137197.622
850000,49267.154,129663.708
851000,51085.906,125165.086
852000,48268.47,130815.49
853000,49538.172,134835.638
854000,53756.07,132643.282
855000,51811.78,131241.164
856000,50594.556,134995.05
857000,48445.35,133660.412
858000,46899.1,136226.31
859000,55025.096,128850.05
860000,48487.518,139382.78
861000,44462.734,137797.862
862000,54231.072,130845.27
863000,50209.58,131798.662
864000,50915.584,134180.402
865000,50359.32,128851.386
866000,49855.118,135193.634
867000,52267.836,129793.726
868000,55511.6,130084.992
869000,57827.386,129041.66
870000,51710.852,137581.36
871000,47569.116,136437.034
872000,56940.576,125397.878
873000,48677.798,142182.396
874000,54669.918,130536.002
875000,51148.71,136779.468
876000,50162.642,142183.254
877000,48689.06,144366.336
878000,54521.514,133844.928
879000,56507.528,132168.922
880000,53523.802,132273.184
881000,52410.6,138380.64
882000,55487.006,134015.94
883000,53428.458,131941.128
884000,55877.96,136544.764
885000,50714.5,144800.314
886000,50113.772,145643.278
887000,53981.612,140594.702
888000,53701.672,138122.44
889000,49234.586,140980.274
890000,46784.418,145323.458
891000,55545.176,137443.904
892000,51589.4,140806.312
893000,53488.486,139677.248
894000,53390.9,138964.39
895000,53189.18,135472.078
896000,57863.056,130202.592
897000,52989.936,130027.102
898000,56378.428,133406.044
899000,55736.59,136520.858
900000,49342.354,144955.228
901000,54842.308,138212.746
902000,58439.606,134708.822
903000,58088.446,139267.328
904000,56488.212,135583.786
905000,50935.548,145253.588
906000,58781.698,135603.072
907000,52243.096,151919.74
908000,58548.888,132379.332
909000,61684.13,133518.792
910000,56769.524,141510.934
911000,51152.118,143002.068
912000,58739.48,144865.132
913000,54025.29,141842.618
914000,50605.796,147522.486
915000,59326.034,138573.878
916000,63942.892,133764.924
917000,51441.522,147828.864
918000,52720.24,144304.614
919000,57886.296,133637.374
920000,55453.506,141516.624
921000,53516.754,142917.222
922000,49618.398,147945.518
923000,54551.476,143713.17
924000,58311.226,141093.664
925000,55690.678,142707.954
926000,56855.822,147126.832
927000,51194.902,151247.626
928000,59259.438,141383.7
929000,56949.272,142065.514
930000,52882.992,149129.712
931000,53000.94,146662.858
932000,56364.344,144905.864
933000,53152.086,144783.968
934000,55634.096,144232.46
935000,56165.83,149479.598
936000,56875.99,138948.13
937000,56335.682,147516.114
938000,56233.972,137401.934
939000,58558.69,150775.778
940000,55645.474,149759.934
941000,54532.014,147752.178
942000,50789.376,146949.624
943000,52090.74,148489.37
944000,58760.83,148140.944
945000,58385.682,143353.872
946000,50666.138,155170.978
947000,54223.71,141910.378
948000,52634.798,155592.994
949000,59279.144,142594.962
950000,55421.68,153814.172
951000,57910.812,147766.352
952000,54141.364,143955.12
953000,53503.774,146487.61
954000,55834.286,149381.18
955000,58170.968,149862.238
956000,59271.202,146855.602
957000,55312.35,152116.6
958000,59821.702,145811.266
959000,56044.732,148048.222
960000,57668.72,151338.23
961000,58840.676,152945.18
962000,55484.27,153785.736
963000,56876.712,153245.428
964000,64319.63,138923.46
965000,64806.608,140223.454
966000,62146.614,145680.25
967000,56472.672,157310.7
968000,57435.306,146787.708
969000,56370.256,154278.682
970000,65089.826,146760.598
971000,63492.426,145923.702
972000,57183.082,150907.438
973000,65117.718,146752.628
974000,60653.158,151395.204
975000,55604.224,151613.812
976000,57302.65,145825.146
977000,62996.104,143386.986
978000,61799.442,145163.156
979000,57638.76,162927.186
980000,63371.902,153391.56
981000,57392.456,156519.046
982000,53690.472,155900.862
983000,60372.81,143658.938
984000,58772.834,157806.396
985000,54978.966,154388.816
986000,57410.78,159419.368
987000,58461.494,152390.028
988000,60003.008,148846.152
989000,56329.638,155991.2
990000,53811.824,159928.298
991000,62661.436,155362.526
992000,57182.638,154634.726
993000,59226.754,160914.95
994000,60562.506,150749.848
995000,61335.16,150533.342
996000,64074.846,150187.616
997000,56469.184,155065.638
998000,61599.506,164325.948
